Konkurent,Stranka / projekt,Panoga,Storitev / signal,Tip sodelovanja,Status,Zadnji javni signal,Datum preverjanja,Vir,Opomba,FC vir HTTP,FC stranka omenjena,FC citat,FC datum dokaza,FC predlog statusa,FC razlog,FC datum
WATT Agency,Afrodita,Beauty,Social / content / creative,Retainer,🟢 Močan aktualen signal,Omenjen med naročniki v javnem oglasu; vir navaja 30+ aktivnih naročnikov,2026-09-21,https://si.linkedin.com/jobs/view/managing-director-watt-agency-at-watt-agency-4243885411,,200,da,"Ecom/performance naročniki: Bird Buddy, Speech Blubs, Golden Tree, Dormeo, Afrodita…",LinkedIn 22.9.2026 prikaže »1 year ago« (≈ sredina 2025); besedilo: »lani 600k … letos 1.000.000 €«; oglas zaprt,historical,"Outpace CDN hrani Afrodita kreative v mapi »Performance/UGC/STARI CLIENTI/AFRODITA« (stari klienti); logotip je bil še na Wayback korenu jun. 2026, na outpaceagency.com je ni.",2026-09-22
WATT Agency,Visit Ljubljana,Turizem,TikTok / content / creative,Recent,🟡 Recent / verjetno aktivno,"Omenjen med znamkami, za katere projektni vodja soustvarja kampanje",2026-09-21,https://si.linkedin.com/jobs/view/projektni-vodja-at-watt-agency-4338395519,,200,da,"soustvarjal/a kampanje za znamke, kot so Telekom, BTC City, Visit Ljubljana, Lesnina, Afrodita, HS+, Bird Buddy in mnoge druge",LinkedIn 22.9.2026 prikaže »10 months ago« (≈ nov. 2025); besedilo: »Začetek dela December 2025«; oglas zaprt,recent project,"Omenjen samo v oglasu za projektnega vodjo (≈nov. 2025, začetek dec. 2025); brez sledi na outpaceagency.com ali Wayback /projekti. Agencija je medtem postala Outpace (performance/UGC, wearetiktok.agency → 301 na outpaceagency.com), na outpaceagency.com te stranke ni.",2026-09-22
WATT Agency,HS+,E-commerce,TikTok / content / creative,Recent,🟡 Recent / verjetno aktivno,"Omenjen med znamkami, za katere projektni vodja soustvarja kampanje",2026-09-21,https://si.linkedin.com/jobs/view/projektni-vodja-at-watt-agency-4338395519,,200,da,"soustvarjal/a kampanje za znamke, kot so Telekom, BTC City, Visit Ljubljana, Lesnina, Afrodita, HS+, Bird Buddy in mnoge druge",LinkedIn 22.9.2026 prikaže »10 months ago« (≈ nov. 2025); besedilo: »Začetek dela December 2025«; oglas zaprt,recent project,"Omenjen samo v oglasu za projektnega vodjo (≈nov. 2025, začetek dec. 2025); brez sledi na outpaceagency.com ali Wayback /projekti. Agencija je medtem postala Outpace (performance/UGC, wearetiktok.agency → 301 na outpaceagency.com), na outpaceagency.com te stranke ni.",2026-09-22
WATT Agency,Nivea,Beauty,Creative / social / performance,Starejša referenca,⚪ Zgodovinsko / nepotrjeno,Starejši javni zaposlitveni oglas; ne potrjuje aktivnosti v 2026,2026-09-21,https://si.linkedin.com/jobs/view/agency-project-manager-at-watt-agency-3931567139,,200,da,"več kot 30 vrhunskimi naročniki … Telekom Slovenija, Argeta, Afrodita, Red Bull, Nivea, Podravka, Vigo Shop, Golden Tree, Vitapur in drugi",LinkedIn 22.9.2026 prikaže »2 years ago« (≈ 2024); besedilo: »1 milijon evrov prometa v letu 2024«; oglas zaprt,historical,Omenjen samo v oglasu iz ≈2024 (isti oglas sicer navaja »20 aktivnih strank« in 12 članov); ni v oglasih 2025 ne na Outpace.,2026-09-22
WATT Agency,Podravka,FMCG,Creative / social / performance,Starejša referenca,⚪ Zgodovinsko / nepotrjeno,Starejši javni zaposlitveni oglas; ne potrjuje aktivnosti v 2026,2026-09-21,https://si.linkedin.com/jobs/view/agency-project-manager-at-watt-agency-3931567139,,200,da,"več kot 30 vrhunskimi naročniki … Telekom Slovenija, Argeta, Afrodita, Red Bull, Nivea, Podravka, Vigo Shop, Golden Tree, Vitapur in drugi",LinkedIn 22.9.2026 prikaže »2 years ago« (≈ 2024); besedilo: »1 milijon evrov prometa v letu 2024«; oglas zaprt,historical,Omenjen samo v oglasu iz ≈2024 (isti oglas sicer navaja »20 aktivnih strank« in 12 članov); ni v oglasih 2025 ne na Outpace.,2026-09-22
WATT Agency,Vigo Shop,E-commerce,Creative / social / performance,Starejša referenca,⚪ Zgodovinsko / nepotrjeno,Starejši javni zaposlitveni oglas; ne potrjuje aktivnosti v 2026,2026-09-21,https://si.linkedin.com/jobs/view/agency-project-manager-at-watt-agency-3931567139,,200,da,"več kot 30 vrhunskimi naročniki … Telekom Slovenija, Argeta, Afrodita, Red Bull, Nivea, Podravka, Vigo Shop, Golden Tree, Vitapur in drugi",LinkedIn 22.9.2026 prikaže »2 years ago« (≈ 2024); besedilo: »1 milijon evrov prometa v letu 2024«; oglas zaprt,historical,Omenjen samo v oglasu iz ≈2024 (isti oglas sicer navaja »20 aktivnih strank« in 12 članov); ni v oglasih 2025 ne na Outpace.,2026-09-22
WATT Agency,Vitapur,Retail / e-commerce,Creative / social / performance,Starejša referenca,⚪ Zgodovinsko / nepotrjeno,Starejši javni zaposlitveni oglas; ne potrjuje aktivnosti v 2026,2026-09-21,https://si.linkedin.com/jobs/view/agency-project-manager-at-watt-agency-3931567139,,200,da,"več kot 30 vrhunskimi naročniki … Telekom Slovenija, Argeta, Afrodita, Red Bull, Nivea, Podravka, Vigo Shop, Golden Tree, Vitapur in drugi",LinkedIn 22.9.2026 prikaže »2 years ago« (≈ 2024); besedilo: »1 milijon evrov prometa v letu 2024«; oglas zaprt,historical,Omenjen samo v oglasu iz ≈2024 (isti oglas sicer navaja »20 aktivnih strank« in 12 članov); ni v oglasih 2025 ne na Outpace.,2026-09-22
Createable,Gorenje,Appliances,Video / UGC / digitalna prisotnost,Recurring / aktualno,🟢 Močan aktualen signal,"Createable jih izrecno navaja kot znamke, ki jim zaupajo v 2026",2026-09-21,https://createable.si/ekipa,,200,"da (v JS bundlu; /ekipa je React SPA, HTML nima besedila)","{year:""2026"" … Zaupajo nam Gorenje, Terme Snovik, Ljubljanske mlekarne, NLB Skladi in druge večje blagovne znamke.}",2026 (časovnica na strani; © 2026),likely active,"Lastna trditev agencije za leto 2026 na aktualni strani; Gorenje tudi v besedilu tečaja (»Gorenje, Intersport, Ljubljanske mlekarne«), ni pa med logotipi.",2026-09-22
Createable,Terme Snovik,Turizem,Video / UGC / digitalna prisotnost,Recurring / aktualno,🟢 Močan aktualen signal,"Createable jih izrecno navaja kot znamke, ki jim zaupajo v 2026",2026-09-21,https://createable.si/ekipa,,200,"da (v JS bundlu; /ekipa je React SPA, HTML nima besedila)","{year:""2026"" … Zaupajo nam Gorenje, Terme Snovik, Ljubljanske mlekarne, NLB Skladi in druge večje blagovne znamke.}",2026 (časovnica na strani; © 2026),likely active,"Lastna trditev agencije za leto 2026 na aktualni strani; tudi logotip in 2 portfolio primera (video »Kneipp Espresso«, wellness post).",2026-09-22
Createable,Ljubljanske mlekarne,FMCG,Video / UGC / digitalna prisotnost,Recurring / aktualno,🟢 Močan aktualen signal,"Createable jih izrecno navaja kot znamke, ki jim zaupajo v 2026",2026-09-21,https://createable.si/ekipa,,200,"da (v JS bundlu; /ekipa je React SPA, HTML nima besedila)","{year:""2026"" … Zaupajo nam Gorenje, Terme Snovik, Ljubljanske mlekarne, NLB Skladi in druge večje blagovne znamke.}",2026 (časovnica na strani; © 2026),likely active,Lastna trditev agencije za leto 2026 na aktualni strani; tudi logotip in portfolio primer (lifestyle post).,2026-09-22
Createable,NLB Skladi,Finance,Video / UGC / digitalna prisotnost,Recurring / aktualno,🟢 Močan aktualen signal,"Createable jih izrecno navaja kot znamke, ki jim zaupajo v 2026",2026-09-21,https://createable.si/ekipa,,200,"da (v JS bundlu; /ekipa je React SPA, HTML nima besedila)","{year:""2026"" … Zaupajo nam Gorenje, Terme Snovik, Ljubljanske mlekarne, NLB Skladi in druge večje blagovne znamke.}",2026 (časovnica na strani; © 2026),likely active,"Lastna trditev agencije za leto 2026 na aktualni strani; omenjen le v časovnici in opisu tečaja, brez logotipa/portfolia.",2026-09-22
BuzzTik,Mömax Slovenija,Retail / pohištvo,Upravljanje družbenih omrežij / content,Recurring / aktualno,🟢 Močan aktualen signal,Trenutno prikazan pod »Družbeni mediji naših strank«,2026-09-21,https://buzztik.com/,,200,da,DRUŽBENI MEDIJI NAŠIH STRANK … Mömax Slovenija @moemax.si Oglej si TikTok profil,brez datuma (stran © 2026),likely active,"Prikazan pod sedanjiškim naslovom »naših strank« na aktualni strani; brez datuma ali pričevanja, zato ne »confirmed«.",2026-09-22
BuzzTik,Fibran Slovenija,Gradbeništvo,Upravljanje družbenih omrežij / content,Recurring / aktualno,🟢 Močan aktualen signal,Trenutno prikazan pod »Družbeni mediji naših strank«,2026-09-21,https://buzztik.com/,,200,da,DRUŽBENI MEDIJI NAŠIH STRANK … Fibran Slovenija @fibranslovenia Oglej si TikTok profil,brez datuma (stran © 2026),likely active,"Prikazan pod sedanjiškim naslovom »naših strank« na aktualni strani; brez datuma ali pričevanja, zato ne »confirmed«.",2026-09-22
BuzzTik,Gorenje Slovenija,Appliances,Upravljanje družbenih omrežij / content,Recurring / aktualno,🟢 Močan aktualen signal,Trenutno prikazan pod »Družbeni mediji naših strank«,2026-09-21,https://buzztik.com/,,200,da,DRUŽBENI MEDIJI NAŠIH STRANK … Gorenje Slovenija @gorenje_slovenija Oglej si TikTok profil,brez datuma (stran © 2026),likely active,"Prikazan pod sedanjiškim naslovom »naših strank« na aktualni strani; brez datuma ali pričevanja, zato ne »confirmed«.",2026-09-22
BuzzTik,Hisense Slovenija,Elektronika,Upravljanje družbenih omrežij / content,Recurring / aktualno,🟢 Močan aktualen signal,Trenutno prikazan pod »Družbeni mediji naših strank«,2026-09-21,https://buzztik.com/,,200,da,DRUŽBENI MEDIJI NAŠIH STRANK … Hisense Slovenija @hisense_slovenija Oglej si TikTok profil,brez datuma (stran © 2026),likely active,"Prikazan pod sedanjiškim naslovom »naših strank« na aktualni strani; brez datuma ali pričevanja, zato ne »confirmed«.",2026-09-22
BuzzTik,Bravia Mobil,Mobilnost,Upravljanje družbenih omrežij / content,Recurring / aktualno,🟢 Močan aktualen signal,Trenutno prikazan pod »Družbeni mediji naših strank«,2026-09-21,https://buzztik.com/,,200,da,DRUŽBENI MEDIJI NAŠIH STRANK … Bravia Mobil @bravia.mobil Oglej si TikTok profil,brez datuma (stran © 2026),likely active,"Prikazan pod sedanjiškim naslovom »naših strank« na aktualni strani; brez datuma ali pričevanja, zato ne »confirmed«.",2026-09-22
BuzzTik,Eucerin Slovenija,Beauty,Upravljanje družbenih omrežij / content,Recurring / aktualno,🟢 Močan aktualen signal,Trenutno prikazan pod »Družbeni mediji naših strank«,2026-09-21,https://buzztik.com/,,200,da,DRUŽBENI MEDIJI NAŠIH STRANK … Eucerin Slovenija #eucerinslovenija Oglej si TikTok profil,brez datuma (stran © 2026),likely active,"Prikazan pod sedanjiškim naslovom »naših strank« na aktualni strani; brez datuma ali pričevanja, zato ne »confirmed«. Eucerin je hashtag, ne profil — verjetno kampanja, ne vodenje profila.",2026-09-22
BuzzTik,Drinkopoly,Consumer / games,Creator / influencer / content kampanje,Sodelovanje / projekt,🟢 Močan aktualen signal,Javno pričevanje ali case na aktualni strani,2026-09-21,https://buzztik.com/,,200,da,"Z BuzzTik sodelujemo od njihovih začetkov. Zelo profesionalna, fleksibilna in lojalna ekipa. … Toplo priporočamo! — Drinkopoly",brez datuma (stran © 2026),likely active,Pričevanje v sedanjiku (»sodelujemo«) na aktualni strani; brez datuma.,2026-09-22
BuzzTik,KingsBox,Fitness,Creator / influencer / content kampanje,Sodelovanje / projekt,🟡 Recent / verjetno aktivno,Javno pričevanje ali case na aktualni strani,2026-09-21,https://buzztik.com/,,200,da,"Baza ustvarjalcev, s katerimi komunicirajo neposredno in prevzamejo logistične naloge, je zagotovo dodana vrednost — KingsBox",brez datuma,recent project,"Pričevanje opisuje izvedeno creator kampanjo (pretekli čas), brez datuma in brez znaka o trajajočem sodelovanju.",2026-09-22
BuzzTik,Treecelet,E-commerce,Creator / influencer / content kampanje,Sodelovanje / projekt,🟡 Recent / projekt,Javno pričevanje ali case na aktualni strani,2026-09-21,https://buzztik.com/,,200,da,prejeli vzorčne videe ustvarjalcev in lahko izbrali tiste … Razen uvodnega briefinga … praktično ni bilo dodatnega dela. — Treecelet,brez datuma,recent project,"Pričevanje o enkratni creator kampanji (pretekli čas), brez datuma.",2026-09-22
BuzzTik,Mesec oblikovanja,Dogodki / design,Creator / influencer / content kampanje,Sodelovanje / projekt,🟡 Recent / projekt,Javno pričevanje ali case na aktualni strani,2026-09-21,https://buzztik.com/,,200,da,V okviru prejema nagrade in odprtja Meseca oblikovanja v Ljubljani smo izvedli TikTok kampanjo … 250.000 ogledov — Mesec oblikovanja,brez datuma (leto dogodka ni navedeno),recent project,"Enkratna kampanja ob odprtju dogodka; leto na strani ni navedeno, zato ni mogoče trditi 2025/2026.",2026-09-22
TikTok SPACE,Fari's,Gostinstvo,Social media / TikTok / content,Case / recurring,🟢 Močan aktualen signal,Trenutno prikazan kot primer profila oziroma vsebine,2026-09-21,https://www.tiktok-space.si/,,200,"da (kot »Faris«, samo v alt atributih slik)","alt=""Faris Instagram profil"" / alt=""Faris Instagram vsebina"" / alt=""Faris logo"" (referenčni logotipi + »Primeri profilov«)",brez datuma,likely active,"Logotip med referencami in primer Instagram profila/vsebine; ime na strani je »Faris« (ne Fari's); storitev je Instagram, ne TikTok.",2026-09-22
TikTok SPACE,Mobistekla,Servis / retail,Social media / TikTok / content,Case / recurring,🟡 Recent / verjetno aktivno,Trenutno prikazan kot primer profila oziroma vsebine,2026-09-21,https://www.tiktok-space.si/,,200,da (samo v alt atributih slik),"alt=""Mobistekla TikTok profil"" / alt=""Mobistekla logo""",brez datuma,likely active,Logotip med referencami in primer TikTok profila v »Primeri profilov«; brez datuma ali pričevanja.,2026-09-22
TikTok SPACE,Chorchyp,Personal brand,Social media / TikTok / content,Case / recurring,🟡 Recent / verjetno aktivno,Trenutno prikazan kot primer profila oziroma vsebine,2026-09-21,https://www.tiktok-space.si/,,200,da (samo v alt atributu slike),"alt=""Chorchyp TikTok profil"" (sekcija »Primeri profilov«)",brez datuma,uncertain,"Samo slika primera profila, brez logotipa med referencami, brez datuma.",2026-09-22
3A Media,Borut Pahor,Personal brand,Digital / social / content,Javno prikazana referenca,🟢 Močan aktualen signal,Izpostavljen na aktualni spletni strani,2026-09-21,https://3a-media.com/,,200,da,"Zaupanja vredni v različnih panogah. … Borut Pahor (Framer logo-slider, data-framer-name=""Borut Pahor"")","stran: nav »Portfolio 2025«, © 2025",recent project,"Ime v vrtiljaku referenc na aktualni strani, brez opisa projekta ali datuma; celotna stran je datirana 2025, 2026 signala ni.",2026-09-22
XOD Agency,SPAR Slovenija,Retail / FMCG,Video / event production,Projekt,🟡 Recent / projekt,Trenutno izpostavljen v portfoliu,2026-09-21,https://www.xodagency.com/our-work,,200,da,SPAR Slovenija - Naravnost od pridelovalca … Event Video Production • Social Media Content • Maribor • 2026 … In collaboration with Herman&Partnerji,2026 (podstran /our-work/spar-slovenija-naravnost-od-pridelovalca),recent project,Enkratna event produkcija 2026 za SPAR prek agencije Herman&Partnerji; ni znaka trajnega sodelovanja z XOD.,2026-09-22
XOD Agency,Škerjanc,Retail / interior,Video production,Projekt,🟡 Recent / projekt,Trenutno izpostavljen v portfoliu,2026-09-21,https://www.xodagency.com/our-work,,200,da,Škerjanc … Social Media Content Production • Photography • Slovenia • 2026 … We create ongoing social media content for Škerjanc,2026 (podstran /our-work/skerjanc),confirmed active,Podstran izrecno navaja trajajoče (»ongoing«) sodelovanje z letnico 2026 in produkcijo v treh showroomih.,2026-09-22
XOD Agency,TEDx University of Ljubljana,Dogodki / izobraževanje,Video / event content,Projekt,🟡 Recent / projekt,Trenutno izpostavljen v portfoliu,2026-09-21,https://www.xodagency.com/our-work,,200,da,TEDx University of Ljubljana … Multicam Event Production • Conference Video Production • Ljubljana • 2026,2026 (podstran /our-work/tedx-university-of-ljubljana),recent project,Enkratna večkamerna produkcija dogodka 2026.,2026-09-22
XOD Agency,Podcast Zadnji meter,Media / podcast,Podcast production,Projekt / recurring,🟡 Recent / projekt,Trenutno izpostavljen v portfoliu,2026-09-21,https://www.xodagency.com/our-work,,200,da,Podcast: “Zadnji meter” … Podcast Production • Sports & Performance Podcast • Ljubljana • 2026 … hosted by Darko Đurić,2026 (podstran /our-work/podcast-zadnji-meter),recent project,"Produkcija podcasta z letnico 2026; ni navedeno, ali še teče.",2026-09-22
XOD Agency,"Podcast Kdo, če ne mi",Media / podcast,Podcast production,Projekt / recurring,🟡 Recent / projekt,Trenutno izpostavljen v portfoliu,2026-09-21,https://www.xodagency.com/our-work,,200,da,"Podcast: “Kdo, če ne mi?” … Podcast Production • Video Podcast Series • Ljubljana • 2025 … 12-episode podcast series",2025 (podstran /our-work/podcast-kdo-ce-ne-mi),historical,"Zaključena 12-delna serija z letnico 2025; CSV ga vodi kot »Recent«, letnica pa je 2025.",2026-09-22
XOD Agency,Taverneta Estate,Hospitality,Vertical video / social content,2026 projekt,🟢 2026 projekt,Stran izrecno označuje projekt kot 2026,2026-09-21,https://www.xodagency.com/our-work/taverneta-buzinel-estate,,200,da,Taverneta Estate & Bužinel Estate … Vertical Content Production • Social Media Content • Goriška Brda • 2026,2026 (podstran),recent project,"Serija vertikalnih videov z letnico 2026; ena podstran pokriva obe posestvi, opisana kot serija, ne retainer.",2026-09-22
XOD Agency,Bužinel Estate,Hospitality,Vertical video / social content,2026 projekt,🟢 2026 projekt,Stran izrecno označuje projekt kot 2026,2026-09-21,https://www.xodagency.com/our-work/taverneta-buzinel-estate,,200,da,Taverneta Estate & Bužinel Estate … Vertical Content Production • Social Media Content • Goriška Brda • 2026,2026 (podstran),recent project,"Serija vertikalnih videov z letnico 2026; ena podstran pokriva obe posestvi, opisana kot serija, ne retainer.",2026-09-22
XOD Agency,Zavarovalnica Triglav,Zavarovanje,Testimonials / short-form,2025 projekt,⚪ Zgodovinsko / nepotrjeno,Projekt je eksplicitno označen 2025,2026-09-21,https://www.xodagency.com/our-work/triglav-insurance-company-client-testimonials,,200,da,Triglav Insurance Company - Client Testimonials … Ljubljana • 2025-2026 … In collaboration with Herman&Partnerji … a growing collection,2025–2026 (podstran),recent project,"Stran danes piše »2025-2026« (ne samo 2025, kot navaja CSV) in »growing collection«; posredno prek Herman&Partnerji.",2026-09-22
XOD Agency,Biotehniška fakulteta UL,Izobraževanje,Dokumentarni video / short-form,2025 projekt,⚪ Zgodovinsko / nepotrjeno,Projekt je eksplicitno označen 2025,2026-09-21,https://www.xodagency.com/our-work/kratki-dokumentarni-fiilmi-za-biotehnisko-fakulteto,,200,da,Short documentary films for the Biotechnical Faculty … Video Production & Brand Storytelling • Ljubljana • 2025 … with InHouse Marketing agency,2025 (podstran),historical,"Zaključen projekt 2025, izveden prek agencije InHouse Marketing.",2026-09-22
XOD Agency,Highlander Adventure Slovenia,Šport / dogodki,Event coverage / Reels / Stories,2025 produkcija za 2026 kampanjo,🟡 Recent / projekt,2025 izvedba; vsebinska knjižnica za 2026 kampanjo,2026-09-21,https://www.xodagency.com/our-work/highlander-adventure-slovenia,,200,da,Highlander Adventure Slovenia … Event Coverage • Julian Alps & Kamnik Savinja Alps • 2025 … content library for Highlander's 2026 campaign,2025 (podstran); vsebine za 2026,recent project,Izvedba 2025 z izrecno omembo knjižnice vsebin za kampanjo 2026; izvedba v 2026 ni potrjena.,2026-09-22
XOD Agency,Istrski kolesarski maraton,Šport / dogodki,Social campaign / paid / event coverage,Sezonski projekt,🟡 Recent / projekt,65-dnevna kampanja 2025; vsebine tudi za 2026,2026-09-21,https://www.xodagency.com/our-work/istrski-kolesarski-maraton-2025,,200,da,Istrski kolesarski maraton 2025 … Social Media Campaign & Event Coverage • Koper • October 2025 … 65-day … content library for the 2026 campaign,okt. 2025 (podstran); vsebine za 2026,recent project,"65-dnevna kampanja avg.–okt. 2025 in event coverage; stran omenja knjižnico za 2026, ne pa potrjene 2026 kampanje.",2026-09-22
