Konkurent,Stranka / projekt,Panoga,Storitev / signal,Tip sodelovanja,Status,Zadnji javni signal,Datum preverjanja,Vir,Opomba
WATT Agency,Afrodita,Beauty,Social / content / creative,Retainer,🟢 Močan aktualen signal,Omenjen med naročniki v javnem oglasu; vir navaja 30+ aktivnih naročnikov,2026-09-21,https://si.linkedin.com/jobs/view/managing-director-watt-agency-at-watt-agency-4243885411,
WATT Agency,Visit Ljubljana,Turizem,TikTok / content / creative,Recent,🟡 Recent / verjetno aktivno,"Omenjen med znamkami, za katere projektni vodja soustvarja kampanje",2026-09-21,https://si.linkedin.com/jobs/view/projektni-vodja-at-watt-agency-4338395519,
WATT Agency,HS+,E-commerce,TikTok / content / creative,Recent,🟡 Recent / verjetno aktivno,"Omenjen med znamkami, za katere projektni vodja soustvarja kampanje",2026-09-21,https://si.linkedin.com/jobs/view/projektni-vodja-at-watt-agency-4338395519,
WATT Agency,Nivea,Beauty,Creative / social / performance,Starejša referenca,⚪ Zgodovinsko / nepotrjeno,Starejši javni zaposlitveni oglas; ne potrjuje aktivnosti v 2026,2026-09-21,https://si.linkedin.com/jobs/view/agency-project-manager-at-watt-agency-3931567139,
WATT Agency,Podravka,FMCG,Creative / social / performance,Starejša referenca,⚪ Zgodovinsko / nepotrjeno,Starejši javni zaposlitveni oglas; ne potrjuje aktivnosti v 2026,2026-09-21,https://si.linkedin.com/jobs/view/agency-project-manager-at-watt-agency-3931567139,
WATT Agency,Vigo Shop,E-commerce,Creative / social / performance,Starejša referenca,⚪ Zgodovinsko / nepotrjeno,Starejši javni zaposlitveni oglas; ne potrjuje aktivnosti v 2026,2026-09-21,https://si.linkedin.com/jobs/view/agency-project-manager-at-watt-agency-3931567139,
WATT Agency,Vitapur,Retail / e-commerce,Creative / social / performance,Starejša referenca,⚪ Zgodovinsko / nepotrjeno,Starejši javni zaposlitveni oglas; ne potrjuje aktivnosti v 2026,2026-09-21,https://si.linkedin.com/jobs/view/agency-project-manager-at-watt-agency-3931567139,
Createable,Gorenje,Appliances,Video / UGC / digitalna prisotnost,Recurring / aktualno,🟢 Močan aktualen signal,"Createable jih izrecno navaja kot znamke, ki jim zaupajo v 2026",2026-09-21,https://createable.si/ekipa,
Createable,Terme Snovik,Turizem,Video / UGC / digitalna prisotnost,Recurring / aktualno,🟢 Močan aktualen signal,"Createable jih izrecno navaja kot znamke, ki jim zaupajo v 2026",2026-09-21,https://createable.si/ekipa,
Createable,Ljubljanske mlekarne,FMCG,Video / UGC / digitalna prisotnost,Recurring / aktualno,🟢 Močan aktualen signal,"Createable jih izrecno navaja kot znamke, ki jim zaupajo v 2026",2026-09-21,https://createable.si/ekipa,
Createable,NLB Skladi,Finance,Video / UGC / digitalna prisotnost,Recurring / aktualno,🟢 Močan aktualen signal,"Createable jih izrecno navaja kot znamke, ki jim zaupajo v 2026",2026-09-21,https://createable.si/ekipa,
BuzzTik,Mömax Slovenija,Retail / pohištvo,Upravljanje družbenih omrežij / content,Recurring / aktualno,🟢 Močan aktualen signal,Trenutno prikazan pod »Družbeni mediji naših strank«,2026-09-21,https://buzztik.com/,
BuzzTik,Fibran Slovenija,Gradbeništvo,Upravljanje družbenih omrežij / content,Recurring / aktualno,🟢 Močan aktualen signal,Trenutno prikazan pod »Družbeni mediji naših strank«,2026-09-21,https://buzztik.com/,
BuzzTik,Gorenje Slovenija,Appliances,Upravljanje družbenih omrežij / content,Recurring / aktualno,🟢 Močan aktualen signal,Trenutno prikazan pod »Družbeni mediji naših strank«,2026-09-21,https://buzztik.com/,
BuzzTik,Hisense Slovenija,Elektronika,Upravljanje družbenih omrežij / content,Recurring / aktualno,🟢 Močan aktualen signal,Trenutno prikazan pod »Družbeni mediji naših strank«,2026-09-21,https://buzztik.com/,
BuzzTik,Bravia Mobil,Mobilnost,Upravljanje družbenih omrežij / content,Recurring / aktualno,🟢 Močan aktualen signal,Trenutno prikazan pod »Družbeni mediji naših strank«,2026-09-21,https://buzztik.com/,
BuzzTik,Eucerin Slovenija,Beauty,Upravljanje družbenih omrežij / content,Recurring / aktualno,🟢 Močan aktualen signal,Trenutno prikazan pod »Družbeni mediji naših strank«,2026-09-21,https://buzztik.com/,
BuzzTik,Drinkopoly,Consumer / games,Creator / influencer / content kampanje,Sodelovanje / projekt,🟢 Močan aktualen signal,Javno pričevanje ali case na aktualni strani,2026-09-21,https://buzztik.com/,
BuzzTik,KingsBox,Fitness,Creator / influencer / content kampanje,Sodelovanje / projekt,🟡 Recent / verjetno aktivno,Javno pričevanje ali case na aktualni strani,2026-09-21,https://buzztik.com/,
BuzzTik,Treecelet,E-commerce,Creator / influencer / content kampanje,Sodelovanje / projekt,🟡 Recent / projekt,Javno pričevanje ali case na aktualni strani,2026-09-21,https://buzztik.com/,
BuzzTik,Mesec oblikovanja,Dogodki / design,Creator / influencer / content kampanje,Sodelovanje / projekt,🟡 Recent / projekt,Javno pričevanje ali case na aktualni strani,2026-09-21,https://buzztik.com/,
TikTok SPACE,Fari's,Gostinstvo,Social media / TikTok / content,Case / recurring,🟢 Močan aktualen signal,Trenutno prikazan kot primer profila oziroma vsebine,2026-09-21,https://www.tiktok-space.si/,
TikTok SPACE,Mobistekla,Servis / retail,Social media / TikTok / content,Case / recurring,🟡 Recent / verjetno aktivno,Trenutno prikazan kot primer profila oziroma vsebine,2026-09-21,https://www.tiktok-space.si/,
TikTok SPACE,Chorchyp,Personal brand,Social media / TikTok / content,Case / recurring,🟡 Recent / verjetno aktivno,Trenutno prikazan kot primer profila oziroma vsebine,2026-09-21,https://www.tiktok-space.si/,
3A Media,Borut Pahor,Personal brand,Digital / social / content,Javno prikazana referenca,🟢 Močan aktualen signal,Izpostavljen na aktualni spletni strani,2026-09-21,https://3a-media.com/,
XOD Agency,SPAR Slovenija,Retail / FMCG,Video / event production,Projekt,🟡 Recent / projekt,Trenutno izpostavljen v portfoliu,2026-09-21,https://www.xodagency.com/our-work,
XOD Agency,Škerjanc,Retail / interior,Video production,Projekt,🟡 Recent / projekt,Trenutno izpostavljen v portfoliu,2026-09-21,https://www.xodagency.com/our-work,
XOD Agency,TEDx University of Ljubljana,Dogodki / izobraževanje,Video / event content,Projekt,🟡 Recent / projekt,Trenutno izpostavljen v portfoliu,2026-09-21,https://www.xodagency.com/our-work,
XOD Agency,Podcast Zadnji meter,Media / podcast,Podcast production,Projekt / recurring,🟡 Recent / projekt,Trenutno izpostavljen v portfoliu,2026-09-21,https://www.xodagency.com/our-work,
XOD Agency,"Podcast Kdo, če ne mi",Media / podcast,Podcast production,Projekt / recurring,🟡 Recent / projekt,Trenutno izpostavljen v portfoliu,2026-09-21,https://www.xodagency.com/our-work,
XOD Agency,Taverneta Estate,Hospitality,Vertical video / social content,2026 projekt,🟢 2026 projekt,Stran izrecno označuje projekt kot 2026,2026-09-21,https://www.xodagency.com/our-work/taverneta-buzinel-estate,
XOD Agency,Bužinel Estate,Hospitality,Vertical video / social content,2026 projekt,🟢 2026 projekt,Stran izrecno označuje projekt kot 2026,2026-09-21,https://www.xodagency.com/our-work/taverneta-buzinel-estate,
XOD Agency,Zavarovalnica Triglav,Zavarovanje,Testimonials / short-form,2025 projekt,⚪ Zgodovinsko / nepotrjeno,Projekt je eksplicitno označen 2025,2026-09-21,https://www.xodagency.com/our-work/triglav-insurance-company-client-testimonials,
XOD Agency,Biotehniška fakulteta UL,Izobraževanje,Dokumentarni video / short-form,2025 projekt,⚪ Zgodovinsko / nepotrjeno,Projekt je eksplicitno označen 2025,2026-09-21,https://www.xodagency.com/our-work/kratki-dokumentarni-fiilmi-za-biotehnisko-fakulteto,
XOD Agency,Highlander Adventure Slovenia,Šport / dogodki,Event coverage / Reels / Stories,2025 produkcija za 2026 kampanjo,🟡 Recent / projekt,2025 izvedba; vsebinska knjižnica za 2026 kampanjo,2026-09-21,https://www.xodagency.com/our-work/highlander-adventure-slovenia,
XOD Agency,Istrski kolesarski maraton,Šport / dogodki,Social campaign / paid / event coverage,Sezonski projekt,🟡 Recent / projekt,65-dnevna kampanja 2025; vsebine tudi za 2026,2026-09-21,https://www.xodagency.com/our-work/istrski-kolesarski-maraton-2025,
XOD Agency,Šalomat,Kultura,Social management / paid / video,Končan projekt,⚪ Zgodovinsko / nepotrjeno,3-mesečni projekt oktober–december 2025,2026-09-21,https://www.xodagency.com/our-work/alomat-sam-prjatla-brata,
